sample_idx,mode,mae,nmse,cosine
0,outdated,0.5493124127388,1.4530829191207886,0.5622596740722656
0,pred,0.45627057552337646,0.9782229661941528,0.571649968624115
1,outdated,0.5434037446975708,0.8276045322418213,0.6601485013961792
1,pred,0.46634507179260254,0.5894009470939636,0.6978529691696167
2,outdated,0.3972320258617401,0.45659947395324707,0.7740746736526489
2,pred,0.3742569088935852,0.4306029975414276,0.7752959728240967
3,outdated,0.6200352907180786,1.9864170551300049,0.8822530508041382
3,pred,0.5354794859886169,1.4729716777801514,0.8856779932975769
4,outdated,0.8631933927536011,1.5912461280822754,0.5626147985458374
4,pred,0.6949298977851868,1.0680859088897705,0.5782395005226135
5,outdated,0.849204957485199,1.5032755136489868,0.643444836139679
5,pred,0.7122870683670044,1.1885855197906494,0.5543724894523621
6,outdated,0.6850854754447937,1.0037057399749756,0.4069138765335083
6,pred,0.633993923664093,0.8748195171356201,0.3949611783027649
7,outdated,0.9582058191299438,4.774840831756592,0.34659212827682495
7,pred,0.8056645393371582,3.3987832069396973,0.37661030888557434
8,outdated,0.7879793643951416,1.4034504890441895,0.7351329922676086
8,pred,0.7016645669937134,1.1316242218017578,0.741585373878479
9,outdated,0.6902589797973633,0.5768853425979614,0.7174685597419739
9,pred,0.6063820719718933,0.4795018434524536,0.7241551280021667
10,outdated,1.0183863639831543,2.3799381256103516,0.5281253457069397
10,pred,0.8464884161949158,1.7850327491760254,0.563933253288269
11,outdated,0.9937475919723511,1.6679340600967407,0.33892732858657837
11,pred,0.9425840377807617,1.4310051202774048,0.32368597388267517
12,outdated,0.5959122180938721,1.8071337938308716,0.8017494082450867
12,pred,0.4339829683303833,0.9564704895019531,0.7801991105079651
13,outdated,0.7304065227508545,1.1338520050048828,0.4634808301925659
13,pred,0.6486873626708984,0.9853840470314026,0.41919779777526855
14,outdated,0.8318321704864502,5.017261505126953,0.455295592546463
14,pred,0.6856104731559753,3.405965805053711,0.4432293176651001
15,outdated,1.0233466625213623,2.0470492839813232,0.5350881218910217
15,pred,0.8606117963790894,1.5749868154525757,0.5506997108459473
16,outdated,1.1388598680496216,0.9785681366920471,0.7197815775871277
16,pred,1.0914201736450195,0.9025136232376099,0.6478859186172485
17,outdated,0.9455640912055969,0.8423014283180237,0.5046800971031189
17,pred,0.8726915121078491,0.7483412623405457,0.5130994915962219
18,outdated,0.512459933757782,0.7771075963973999,0.5382395386695862
18,pred,0.5113295316696167,0.7013444304466248,0.5487479567527771
19,outdated,0.5080547332763672,0.4678809642791748,0.896790087223053
19,pred,0.47888514399528503,0.422821968793869,0.9149589538574219
20,outdated,0.6825578212738037,1.000451922416687,0.4884265959262848
20,pred,0.6284540295600891,0.9128937125205994,0.44770166277885437
21,outdated,0.834693193435669,0.8139403462409973,0.7344250679016113
21,pred,0.8135330677032471,0.8135219812393188,0.6947258710861206
22,outdated,0.8314468860626221,1.4112497568130493,0.4612511694431305
22,pred,0.7569775581359863,1.1566352844238281,0.41226792335510254
23,outdated,0.5015217661857605,0.3332720398902893,0.8199395537376404
23,pred,0.5650882720947266,0.40826407074928284,0.819669783115387
24,outdated,0.8485345840454102,1.5517711639404297,0.3857007920742035
24,pred,0.7626065015792847,1.1738300323486328,0.3970828950405121
25,outdated,0.5790038108825684,0.48976996541023254,0.7936379313468933
25,pred,0.5183970332145691,0.38352489471435547,0.8081873655319214
26,outdated,0.4617224335670471,0.8242294788360596,0.6752474308013916
26,pred,0.38941672444343567,0.5772079825401306,0.7240827083587646
27,outdated,0.9014189839363098,1.037118911743164,0.5071761608123779
27,pred,0.8033207654953003,0.8664822578430176,0.5007597804069519
28,outdated,0.6532984972000122,1.0943074226379395,0.5904355645179749
28,pred,0.619316816329956,0.9881138801574707,0.5706310868263245
29,outdated,0.518299400806427,0.6337758302688599,0.637943685054779
29,pred,0.5210778117179871,0.6407156586647034,0.6743855476379395
30,outdated,0.9179702997207642,0.7405173778533936,0.5577152967453003
30,pred,0.9546844363212585,0.8099415302276611,0.5295525789260864
31,outdated,1.0591835975646973,1.1368765830993652,0.5733533501625061
31,pred,1.018579125404358,1.0461244583129883,0.6211678385734558
32,outdated,0.4749888777732849,0.827876091003418,0.7029377818107605
