sample_idx,mode,mae,nmse,cosine
0,outdated,0.6094361543655396,1.9521169662475586,0.5009378790855408
0,pred,0.4914775490760803,1.1873992681503296,0.5506711602210999
1,outdated,0.5700818300247192,1.058748722076416,0.5934391021728516
1,pred,0.4861644506454468,0.6984761953353882,0.6191673874855042
2,outdated,0.45268768072128296,0.5823354721069336,0.7096711993217468
2,pred,0.3989909887313843,0.5002074241638184,0.7302652597427368
3,outdated,0.6555416584014893,1.9597527980804443,0.8762455582618713
3,pred,0.5670480728149414,1.4619402885437012,0.9111781716346741
4,outdated,0.9602335095405579,2.0112102031707764,0.43701741099357605
4,pred,0.812862753868103,1.467180848121643,0.423816055059433
5,outdated,0.9222860336303711,1.6000362634658813,0.6024458408355713
5,pred,0.7726137638092041,1.2533812522888184,0.5731827616691589
6,outdated,0.7248861789703369,1.0965001583099365,0.3505330979824066
6,pred,0.6685619950294495,0.9683939218521118,0.3139376640319824
7,outdated,1.0582549571990967,4.592583656311035,0.5084918737411499
7,pred,0.8628265857696533,3.074198007583618,0.49969911575317383
8,outdated,0.8386280536651611,1.5749987363815308,0.7058653831481934
8,pred,0.7268531322479248,1.2610023021697998,0.6903661489486694
9,outdated,0.743026852607727,0.7041793465614319,0.6635079979896545
9,pred,0.634390652179718,0.5353442430496216,0.6845085620880127
10,outdated,1.1106114387512207,2.5771522521972656,0.536909282207489
10,pred,0.8594728112220764,1.6841329336166382,0.6633773446083069
11,outdated,1.0569969415664673,1.6909377574920654,0.35538971424102783
11,pred,0.9979125261306763,1.4289145469665527,0.37057530879974365
12,outdated,0.6872580647468567,2.746274471282959,0.6716540455818176
12,pred,0.42702150344848633,1.1535534858703613,0.7146416902542114
13,outdated,0.7750115990638733,1.23637056350708,0.4144169092178345
13,pred,0.6757373809814453,1.084749698638916,0.3381953835487366
14,outdated,0.9322366118431091,4.48348331451416,0.574068546295166
14,pred,0.7557150721549988,2.94822359085083,0.5628722906112671
15,outdated,1.1024668216705322,2.0385429859161377,0.5537131428718567
15,pred,0.9348264932632446,1.6107876300811768,0.5470481514930725
16,outdated,1.1967039108276367,1.039617896080017,0.7013415694236755
