sample_idx,mode,mae,nmse,cosine
0,outdated,0.36294496059417725,0.5202738642692566,0.7849380970001221
0,pred,0.29723888635635376,0.40896907448768616,0.7905369400978088
1,outdated,0.4178692698478699,0.3756440281867981,0.825935959815979
1,pred,0.3783743679523468,0.344400554895401,0.8507018089294434
2,outdated,0.2497195303440094,0.1839975118637085,0.9098174571990967
2,pred,0.3298422396183014,0.2701610028743744,0.9009615182876587
3,outdated,0.4638848900794983,1.679379940032959,0.9016390442848206
3,pred,0.38749247789382935,1.156446933746338,0.8930044174194336
4,outdated,0.5609745383262634,0.5526875853538513,0.8396914601325989
4,pred,0.44084566831588745,0.39327090978622437,0.8445290327072144
5,outdated,0.5853898525238037,0.901340663433075,0.803911566734314
5,pred,0.4713559150695801,0.7188487648963928,0.7421945333480835
6,outdated,0.5251728296279907,0.6765493750572205,0.6176967620849609
6,pred,0.5065826773643494,0.6365264058113098,0.6050949692726135
7,outdated,0.6383367776870728,2.8103389739990234,0.4887957274913788
7,pred,0.5045785903930664,1.7902634143829346,0.4423168897628784
8,outdated,0.5826998949050903,0.8122195601463318,0.8391948342323303
8,pred,0.5236510038375854,0.6640941500663757,0.8347107172012329
9,outdated,0.5060632228851318,0.2813311815261841,0.8546804189682007
9,pred,0.5266197919845581,0.3055770695209503,0.8614407181739807
10,outdated,0.6943889856338501,1.293534278869629,0.6921115517616272
10,pred,0.531516432762146,0.9760268330574036,0.6518387198448181
11,outdated,0.7439979314804077,1.4705272912979126,0.3833312690258026
11,pred,0.6992872953414917,1.2308530807495117,0.34402036666870117
12,outdated,0.34363919496536255,0.3210643231868744,0.9592162370681763
12,pred,0.26116085052490234,0.16086417436599731,0.9422126412391663
13,outdated,0.5408698320388794,0.7290934324264526,0.6625983715057373
13,pred,0.501032829284668,0.6596953868865967,0.6316394805908203
14,outdated,0.5318502187728882,3.074185848236084,0.5812696218490601
14,pred,0.3845289349555969,1.6770269870758057,0.5690898299217224
15,outdated,0.7282617092132568,1.7454125881195068,0.5651894807815552
15,pred,0.5745445489883423,1.2377599477767944,0.5888426899909973
16,outdated,0.8794435262680054,0.7389131784439087,0.792441189289093
16,pred,0.8510297536849976,0.7159890532493591,0.7332446575164795
17,outdated,0.7205836176872253,0.5182735919952393,0.7066807150840759
17,pred,0.6694954037666321,0.5028857588768005,0.7089596390724182
18,outdated,0.3955698311328888,0.48549965023994446,0.7262879014015198
18,pred,0.4040231704711914,0.48655638098716736,0.7331554293632507
19,outdated,0.4017646908760071,0.25745677947998047,0.9364197850227356
19,pred,0.4402339458465576,0.2856544256210327,0.9529935717582703
20,outdated,0.5062543749809265,0.598194420337677,0.6931387782096863
20,pred,0.5041444301605225,0.6072893738746643,0.6578810811042786
21,outdated,0.6475139260292053,0.6434171199798584,0.7936978936195374
21,pred,0.6532649993896484,0.6690104007720947,0.7571781277656555
22,outdated,0.6232939958572388,0.7999593615531921,0.6657167077064514
22,pred,0.5645850896835327,0.699706494808197,0.6129056215286255
23,outdated,0.396640419960022,0.20930539071559906,0.9038631319999695
23,pred,0.46086978912353516,0.3171701729297638,0.9017536044120789
24,outdated,0.6307843923568726,0.7405408024787903,0.6900139451026917
24,pred,0.5447989702224731,0.5802508592605591,0.6885793209075928
25,outdated,0.4426978528499603,0.22372356057167053,0.8979087471961975
25,pred,0.44411078095436096,0.22823624312877655,0.909635066986084
26,outdated,0.32959145307540894,0.3845135569572449,0.8517621755599976
26,pred,0.2617306709289551,0.2890084683895111,0.8777256011962891
27,outdated,0.6524840593338013,0.5955250263214111,0.7115461230278015
27,pred,0.5722880363464355,0.5397996306419373,0.7075849175453186
28,outdated,0.4946361780166626,0.6862006187438965,0.7102322578430176
28,pred,0.48759326338768005,0.6760238409042358,0.6806272268295288
29,outdated,0.4211134612560272,0.4995037019252777,0.729053795337677
29,pred,0.43625015020370483,0.5444368720054626,0.7608728408813477
30,outdated,0.7156879305839539,0.6141160130500793,0.6734688878059387
30,pred,0.7587124109268188,0.7078751921653748,0.6456586718559265
31,outdated,0.8039236068725586,0.7874346375465393,0.7166886329650879
31,pred,0.7888356447219849,0.7840986251831055,0.7341989874839783
32,outdated,0.3527449667453766,0.35664287209510803,0.8592097759246826
32,pred,0.29291805624961853,0.22580787539482117,0.8802152276039124
33,outdated,0.32231035828590393,0.26153430342674255,0.8788803219795227
33,pred,0.3928084671497345,0.3998778164386749,0.8667987585067749
34,outdated,0.4832981824874878,0.280409038066864,0.8514692783355713
34,pred,0.4926011860370636,0.2770344316959381,0.8826856017112732
35,outdated,0.5900296568870544,0.8597714304924011,0.7279890775680542
35,pred,0.5194658041000366,0.7558042407035828,0.6790497303009033
36,outdated,0.46278101205825806,0.5221759676933289,0.7943063378334045
36,pred,0.4327252209186554,0.4779437184333801,0.7685281038284302
37,outdated,0.5886805057525635,0.8694226741790771,0.6986685991287231
37,pred,0.4954947531223297,0.5967938899993896,0.6776016354560852
38,outdated,0.674710750579834,0.8773981928825378,0.6994692087173462
38,pred,0.46781325340270996,0.5151931047439575,0.7180532217025757
39,outdated,0.4771982431411743,0.4956238567829132,0.7263803482055664
39,pred,0.473086953163147,0.4932721257209778,0.7246754765510559
40,outdated,0.35174012184143066,0.5927993655204773,0.7461866736412048
40,pred,0.35524365305900574,0.5209859013557434,0.7439010739326477
41,outdated,0.5210279226303101,0.5947127342224121,0.7422735095024109
41,pred,0.4685601592063904,0.4923069477081299,0.7378076314926147
42,outdated,0.40719395875930786,0.2820660173892975,0.939001739025116
42,pred,0.35085421800613403,0.2248019576072693,0.9052577614784241
43,outdated,0.6740660071372986,0.9612157940864563,0.523617148399353
43,pred,0.612051784992218,0.859429121017456,0.4809620976448059
44,outdated,0.6285291314125061,1.3241955041885376,0.732002317905426
44,pred,0.4828254282474518,0.7909151315689087,0.7153040766716003
45,outdated,0.22556109726428986,0.3648912012577057,0.8115007877349854
45,pred,0.2344261109828949,0.34436342120170593,0.8256728053092957
46,outdated,0.3635045289993286,0.22704757750034332,0.8842935562133789
46,pred,0.3790842294692993,0.2566398084163666,0.8784421682357788
