mode,layer,class_name,base_rel_l2,target_rel_l2,diff_rel_l2,base_mae,target_mae,diff_mae,base_mse,target_mse,diff_mse,base_cosine,target_cosine,diff_cosine,base_samples,target_samples
pred,p2,bicycle,0.37583548287520596,0.37363224483328644,-0.0022032380419195197,0.3085056589719392,0.3020967648468709,-0.006408894125068287,0.2219818267954395,0.21722361322751219,-0.004758213567927327,0.8911732388013169,0.8915071056486077,0.00033386684729075355,331,331
pred,p2,bus,0.3468864527344704,0.3500272938609123,0.003140841126441918,0.33415818919738133,0.32645743052164716,-0.007700758675734165,0.25772728404651085,0.25254519359519084,-0.0051820904513200094,0.906820434331894,0.9055756163597107,-0.001244817972183232,75,75
pred,p2,car,0.30663796618705513,0.31045206333802833,0.0038140971509731947,0.3094181588317061,0.30038542944205354,-0.00903272938965255,0.2314554089232188,0.22291806419711233,-0.008537344726106483,0.9254766985399953,0.9222035353933169,-0.0032731631466783595,478,478
pred,p2,motorcycle,0.3900180595215931,0.37973549497383896,-0.010282564547754114,0.30378845966951823,0.28917919251547064,-0.01460926715404759,0.2050809845108018,0.19120492182311513,-0.01387606268768668,0.8855262760834027,0.8890828344450202,0.003556558361617501,93,93
pred,p2,person,0.3515911644830965,0.35772794284428144,0.006136778361184925,0.27439491304004576,0.2690792439825963,-0.005315669057449457,0.1775623084303744,0.17021118750345157,-0.007351120926922833,0.9045405845039355,0.9013571822806784,-0.0031834022232570813,401,401
pred,p2,rider,0.38199432005759754,0.3767805594523905,-0.005213760605207063,0.29476044285792136,0.2829613156705035,-0.01179912718741788,0.20612577647117994,0.19419042017723143,-0.011935356293948512,0.8836650481970296,0.885583302808609,0.0019182546115793508,253,253
pred,p2,train,0.37459664927287534,0.3673340000889518,-0.007262649183923553,0.3862969157370654,0.36696267602118576,-0.019334239715879664,0.32169213044372474,0.2962202831086787,-0.02547184733504604,0.9043304351243105,0.9059846198016946,0.0016541846773840962,22,22
pred,p2,truck,0.37683163294568656,0.37249739058315756,-0.004334242362528995,0.3379307004623115,0.3205692857503891,-0.017361414711922374,0.2618418907397427,0.2357625328702852,-0.026079357869457476,0.8928334367461502,0.8944120488595217,0.0015786121133715136,80,80
pred,p3,bicycle,0.3668137554000512,0.3657192966008835,-0.0010944587991676968,0.27899689099039554,0.27596315226075874,-0.0030337387296368035,0.18123471275748534,0.18026176183076514,-0.0009729509267202008,0.8943040946954327,0.8942685444864622,-3.555020897050287e-05,331,331
pred,p3,bus,0.35743956555922823,0.35816956708828607,0.0007300015290578332,0.3008830025792122,0.297583001156648,-0.0033000014225642027,0.20961222916841507,0.21176926114906866,0.00215703198065359,0.898840422530969,0.8968082328637441,-0.0020321896672248485,75,75
pred,p3,car,0.3162131818892068,0.32076630241015464,0.004553120520947862,0.2800342930114544,0.27524918779169666,-0.004785105219757724,0.18947305148623292,0.18726201769389275,-0.002211033792340167,0.918507003089,0.9142520128433674,-0.004254990245632584,478,478
pred,p3,motorcycle,0.36837755664381927,0.360842498079423,-0.007535058564396291,0.27357894094080054,0.2633674788859583,-0.010211462054842246,0.16296052437035308,0.1544982991131243,-0.008462225257228784,0.8994115994822595,0.9022323947439912,0.0028207952617317344,93,93
pred,p3,person,0.33811119074313123,0.3432653994482949,0.005154208705163643,0.247646077482629,0.24415367908608587,-0.0034923983965431393,0.142332090504997,0.13756511495576387,-0.004766975549233138,0.9115331938253377,0.9093910417800533,-0.002142152045284451,401,401
pred,p3,rider,0.3664161594429977,0.35749646706190036,-0.008919692381097355,0.2667814745851185,0.2574656690827943,-0.009315805502324248,0.16737304933980224,0.15851906629411777,-0.008853983045684466,0.8927306633133426,0.8973589370785494,0.004628273765206803,253,253
pred,p3,train,0.3937938531691378,0.38309563357721677,-0.010698219591921021,0.3417080430821939,0.32978643951090897,-0.011921603571284911,0.24887201257727362,0.23925950428978962,-0.009612508287484,0.8933873718435114,0.8947697187011893,0.0013823468576779074,22,22
pred,p3,truck,0.37587902005761864,0.3662790420465171,-0.009599978011101518,0.30273031126707795,0.28893059827387335,-0.013799712993204594,0.20803950678091496,0.1896674951305613,-0.018372011650353653,0.8924153722822666,0.8966745854355395,0.004259213153272823,80,80
pred,p4,bicycle,0.37918463952591774,0.3769827856263005,-0.0022018538996172454,0.29525542758922924,0.28141526522233046,-0.013840162366898778,0.19667507719045949,0.18243513983643397,-0.014239937354025511,0.888835862481522,0.8906587111985935,0.0018228487170715013,331,331
pred,p4,bus,0.3785899635155996,0.3736381368835767,-0.004951826632022871,0.3276379132270813,0.31786151150862374,-0.009776401718457561,0.24288139961659908,0.23797894141326348,-0.004902458203335597,0.8872143707672755,0.8878246667981148,0.0006102960308392857,75,75
pred,p4,car,0.33387692765211957,0.33804937640680427,0.004172448754684699,0.301559945358018,0.28938372171324167,-0.01217622364477633,0.21421612213973626,0.2036766073760035,-0.010539514763732771,0.9102376919224172,0.9052857104299208,-0.004951981492496427,478,478
pred,p4,motorcycle,0.37512563874003707,0.3643744687239329,-0.01075117001610415,0.2898448841065489,0.2698678771654765,-0.019977006941072406,0.1776254352642804,0.15685773370487074,-0.020767701559409657,0.8994079139283908,0.9041938730465469,0.004785959118156047,93,93
pred,p4,person,0.3518104425020646,0.35019944606353515,-0.0016109964385294662,0.26047155734829774,0.247365977429318,-0.013105579918979732,0.15065540876378888,0.13609937087114798,-0.0145560378926409,0.9073770346115355,0.9094784503937362,0.0021014157822006885,401,401
pred,p4,rider,0.37721048887421493,0.36315697611202835,-0.014053512762186582,0.27976933943306503,0.2615692713721232,-0.01820006806094182,0.17630305833260532,0.1567777130723353,-0.019525345260270027,0.8908026572979486,0.8998681447604899,0.009065487462541322,253,253
pred,p4,train,0.4196172844279896,0.4062605601820079,-0.013356724245981721,0.3664223429831592,0.3495852642438628,-0.01683707873929635,0.28037525950507686,0.26261308924718335,-0.017762170257893506,0.8791157779368487,0.8829799145460129,0.0038641366091641816,22,22
