mode,layer,class_name,rel_l2,mae,mse,cosine,samples
outdated,p2,person,0.6468225079321505,0.4948521005431018,0.5144653804739588,0.7014023339324468,401
outdated,p2,rider,0.6769905280572153,0.514896973614165,0.5584679161430347,0.665413550294019,253
outdated,p2,car,0.5865400949002061,0.5701084625303247,0.6769461406601367,0.7432773601279349,478
outdated,p2,truck,0.6675320696085691,0.5898626374080778,0.7056460456922651,0.6825400339905172,80
outdated,p2,bus,0.6380829699834187,0.5985487385590871,0.7263224707047145,0.710040935476621,75
outdated,p2,train,0.5848890177228234,0.5950569869442419,0.7062754788520661,0.7670950009064241,22
outdated,p2,motorcycle,0.6786514945248122,0.5213316589273432,0.5520287074789565,0.6642193727205277,93
outdated,p2,bicycle,0.6799652066835824,0.5560582387978577,0.6387833602827752,0.6692617697601863,331
outdated,p3,person,0.6304372900962235,0.45505983526458466,0.4289906502264712,0.7127736203739433,401
outdated,p3,rider,0.6480863926262252,0.4729286976188068,0.4641411146388312,0.6918111041909739,253
outdated,p3,car,0.6170478092514321,0.5331806073814755,0.5887239879390778,0.7119329807671979,478
outdated,p3,truck,0.6667077001184225,0.5376932401210069,0.5817429822403938,0.6812142740935088,80
outdated,p3,bus,0.6596215113004049,0.5536480949322382,0.6221769367903471,0.6840905692676703,75
outdated,p3,train,0.6155313768170096,0.539729930460453,0.5821359921246767,0.7346817620775916,22
outdated,p3,motorcycle,0.6498635988081655,0.4800044354251636,0.4566631076797362,0.6941039167464741,93
outdated,p3,bicycle,0.67302506126666,0.5146741628466777,0.5420713683567784,0.6704963876013265,331
outdated,p4,person,0.6265564612171002,0.4481356180925619,0.4073854907487805,0.7238830854335888,401
outdated,p4,rider,0.6381193309610069,0.46470183546364074,0.43823219810726616,0.712674157878038,253
outdated,p4,car,0.6373799638705773,0.5494234116132289,0.6190369218961963,0.6940283189570554,478
outdated,p4,truck,0.6687421491369605,0.538023023866117,0.5770789388101548,0.6853251608554274,80
outdated,p4,bus,0.6727776288986206,0.5782400441169738,0.6797915271421273,0.6657607367634774,75
outdated,p4,train,0.6456261974844065,0.5652185725894842,0.6343165685168721,0.7030566795305773,22
outdated,p4,motorcycle,0.6439400097375275,0.47961602207793985,0.44534086904698805,0.7129398950485772,93
outdated,p4,bicycle,0.6741509231375784,0.5096711057753182,0.5256426849816096,0.6747166625015842,331
outdated,p5,person,0.6760083495678747,0.4216347437658512,0.34316434992008155,0.7064774544849212,401
outdated,p5,rider,0.6806136863269353,0.41161234317560913,0.3284663678967788,0.7106080414219336,253
outdated,p5,car,0.6792698154327261,0.5542019441037996,0.6274022095832802,0.6669051716791926,478
outdated,p5,truck,0.7127761477604508,0.508225922472775,0.5013158609159291,0.6704043421894312,80
outdated,p5,bus,0.6969280972083409,0.5524925428628922,0.6212798963487148,0.6575137141595284,75
outdated,p5,train,0.6871267475865104,0.5628684088587761,0.6282856637103991,0.666589597070759,22
outdated,p5,motorcycle,0.6821005509425235,0.42039250302058395,0.3278159839651918,0.7142461690530982,93
outdated,p5,bicycle,0.7111348787103174,0.4598828598946963,0.413235141999817,0.6685129948793221,331
pred,p2,person,0.6438627638424423,0.49179607198719966,0.5095162569496436,0.701457148099648,401
pred,p2,rider,0.6768196736694324,0.5145548342951672,0.5591710396147823,0.6635691080501914,253
pred,p2,car,0.5846207159645388,0.5690725134786951,0.6760580596790715,0.7438723013802553,478
pred,p2,truck,0.6768139911815524,0.5964464006945491,0.7183242877479643,0.673508565244265,80
pred,p2,bus,0.6557554125785827,0.6140381477276484,0.7614699831604957,0.6854253898064295,75
pred,p2,train,0.5782833742824468,0.586571841077371,0.6866057218814438,0.772516056895256,22
pred,p2,motorcycle,0.6616706745598906,0.5093157172843974,0.5266261662166285,0.6836587144684683,93
pred,p2,bicycle,0.6776453367803031,0.5543056652625161,0.6338966710920645,0.6722061316587532,331
pred,p3,person,0.6256430313139782,0.4513414282714042,0.4232098452811898,0.7145004096879923,401
pred,p3,rider,0.6479110191226477,0.47237821724339435,0.4649222800618575,0.6892882918261669,253
pred,p3,car,0.6148872452643875,0.5319629166914329,0.5886226963177791,0.7118828035705961,478
