mode,layer,class_name,rel_l2,mae,mse,cosine,samples
outdated,p2,person,0.347906531464132,0.2713116734216635,0.1738376496940331,0.9071683824210988,401
outdated,p2,rider,0.37537240546211426,0.2893338955850469,0.20016332353159727,0.8873897142884996,253
outdated,p2,car,0.3038194012208588,0.3062562652275153,0.226795521717729,0.9271204140520495,478
outdated,p2,truck,0.37164053358137605,0.3303718569688499,0.24042874065344222,0.8969412201084197,80
outdated,p2,bus,0.33859506477912266,0.3279998485247294,0.25253280909111103,0.9127268278598786,75
outdated,p2,train,0.37883126126094296,0.39347427744757046,0.3420037664473057,0.9001544686880979,22
outdated,p2,motorcycle,0.3766673381129901,0.2927899703543673,0.18529996950860306,0.8954045391210945,93
outdated,p2,bicycle,0.37077392252820496,0.3039719320248441,0.21829674661080734,0.8928492897052284,331
outdated,p3,person,0.33575143902899324,0.24570490011104623,0.14031333717496652,0.9131367372469674,401
outdated,p3,rider,0.35961569186020276,0.26180998527485394,0.16190141664630192,0.8968897274816814,253
outdated,p3,car,0.3140708498235901,0.27796291573183557,0.18656041471007043,0.920215597274912,478
outdated,p3,truck,0.36868377299979327,0.29526864951476456,0.19011391618987544,0.8991513708606362,80
outdated,p3,bus,0.35055905520915986,0.29687690377235415,0.20612320526192585,0.9035097694396973,75
outdated,p3,train,0.3992851193655621,0.3486535725268451,0.26405659284104,0.8881080556999553,22
outdated,p3,motorcycle,0.35637607121018955,0.2643316058061456,0.14778927958981003,0.9088973435022498,93
outdated,p3,bicycle,0.3630242477821079,0.27602055193884495,0.17982497171209028,0.8950698180096027,331
outdated,p4,person,0.35014571606221045,0.25885940203791546,0.14921402744019863,0.9082652103350941,401
outdated,p4,rider,0.3714232853808893,0.2755199896959448,0.17159327528192828,0.8943338801149323,253
outdated,p4,car,0.33199608719529716,0.2996790436053625,0.21184988697858287,0.9117604805211142,478
outdated,p4,truck,0.3816677582450211,0.30566510688513515,0.1969231590628624,0.8964554909616709,80
outdated,p4,bus,0.37097930431365966,0.3231074958046277,0.2395011762281259,0.8916745756069819,75
outdated,p4,train,0.42735072767192667,0.3751584311777895,0.29949220024387946,0.8721907382661646,22
outdated,p4,motorcycle,0.36405909165579786,0.28106482895792173,0.16414690026212284,0.9078286210054992,93
outdated,p4,bicycle,0.3744698341969637,0.29172735382152826,0.19456080474758528,0.8898256992375383,331
outdated,p5,person,0.40315246024631207,0.2610118372036037,0.14209731148342206,0.8886396523722984,401
outdated,p5,rider,0.418705434254978,0.2600264146982917,0.1416232301595919,0.8808862009774083,253
outdated,p5,car,0.3748959113364439,0.3191400528047624,0.2297389578117081,0.8955633334706393,478
outdated,p5,truck,0.42270699571818116,0.30196881033480166,0.1877080545993522,0.885459016636014,80
outdated,p5,bus,0.40288097818692525,0.32664501150449116,0.23775335367769002,0.8804484933614731,75
outdated,p5,train,0.4597820524464954,0.3858455656604333,0.31508136684582994,0.8544504886323755,22
outdated,p5,motorcycle,0.41347686297470526,0.2635691726720461,0.13825454108256807,0.8893711262492723,93
outdated,p5,bicycle,0.42128797685811886,0.28256234454604434,0.1690336735694025,0.8752799459544554,331
pred,p2,person,0.3515911644830965,0.27439491304004576,0.1775623084303744,0.9045405845039355,401
pred,p2,rider,0.38199432005759754,0.29476044285792136,0.20612577647117994,0.8836650481970296,253
pred,p2,car,0.30663796618705513,0.3094181588317061,0.2314554089232188,0.9254766985399953,478
pred,p2,truck,0.37683163294568656,0.3379307004623115,0.2618418907397427,0.8928334367461502,80
pred,p2,bus,0.3468864527344704,0.33415818919738133,0.25772728404651085,0.906820434331894,75
pred,p2,train,0.37459664927287534,0.3862969157370654,0.32169213044372474,0.9043304351243105,22
pred,p2,motorcycle,0.3900180595215931,0.30378845966951823,0.2050809845108018,0.8855262760834027,93
pred,p2,bicycle,0.37583548287520596,0.3085056589719392,0.2219818267954395,0.8911732388013169,331
pred,p3,person,0.33811119074313123,0.247646077482629,0.142332090504997,0.9115331938253377,401
pred,p3,rider,0.3664161594429977,0.2667814745851185,0.16737304933980224,0.8927306633133426,253
pred,p3,car,0.3162131818892068,0.2800342930114544,0.18947305148623292,0.918507003089,478
pred,p3,truck,0.37587902005761864,0.30273031126707795,0.20803950678091496,0.8924153722822666,80
pred,p3,bus,0.35743956555922823,0.3008830025792122,0.20961222916841507,0.898840422530969,75
pred,p3,train,0.3937938531691378,0.3417080430821939,0.24887201257727362,0.8933873718435114,22
pred,p3,motorcycle,0.36837755664381927,0.27357894094080054,0.16296052437035308,0.8994115994822595,93
pred,p3,bicycle,0.3668137554000512,0.27899689099039554,0.18123471275748534,0.8943040946954327,331
pred,p4,person,0.3518104425020646,0.26047155734829774,0.15065540876378888,0.9073770346115355,401
pred,p4,rider,0.37721048887421493,0.27976933943306503,0.17630305833260532,0.8908026572979486,253
pred,p4,car,0.33387692765211957,0.301559945358018,0.21421612213973626,0.9102376919224172,478
pred,p4,truck,0.38862533010542394,0.3128592771477997,0.21639212392037735,0.8886609137058258,80
pred,p4,bus,0.3785899635155996,0.3276379132270813,0.24288139961659908,0.8872143707672755,75
pred,p4,train,0.4196172844279896,0.3664223429831592,0.28037525950507686,0.8791157779368487,22
pred,p4,motorcycle,0.37512563874003707,0.2898448841065489,0.1776254352642804,0.8994079139283908,93
pred,p4,bicycle,0.37918463952591774,0.29525542758922924,0.19667507719045949,0.888835862481522,331
pred,p5,person,0.4051450363121128,0.26257801633746247,0.14260788426323426,0.8886270221332064,401
pred,p5,rider,0.4231610033116322,0.2634001069448211,0.14443356995084305,0.8790968040468193,253
pred,p5,car,0.3763819111659188,0.3205665260646882,0.23051236883179912,0.8949109411420433,478
pred,p5,truck,0.42661174554377795,0.3079935429617763,0.2085218794294633,0.8768332503736019,80
pred,p5,bus,0.40776155471801756,0.3304739918311437,0.24123449350396792,0.8776685424645742,75
pred,p5,train,0.45265517045151105,0.37790440090677957,0.29556219398298045,0.8624118105931715,22
pred,p5,motorcycle,0.4232545849136127,0.2708097411900438,0.14643868048905687,0.8833338544573835,93
pred,p5,bicycle,0.425422848036282,0.28586133130547503,0.1707880545430043,0.8749362343297624,331
