mode,layer,class_name,base_rel_l2,target_rel_l2,diff_rel_l2,base_mae,target_mae,diff_mae,base_mse,target_mse,diff_mse,base_cosine,target_cosine,diff_cosine,base_samples,target_samples
pred,p2,bicycle,0.6965018168451923,0.6776453367803031,-0.01885648006488916,0.5796014837853137,0.5543056652625161,-0.02529581852279761,0.6874833803235629,0.6338966710920645,-0.05358670923149844,0.654641241911416,0.6722061316587532,0.017564889747337165,331,331
pred,p2,bus,0.6405116925636928,0.6557554125785827,0.015243720014889939,0.6236724140246709,0.6140381477276484,-0.009634266297022465,0.7779884384572506,0.7614699831604957,-0.016518455296754886,0.7051254626984398,0.6854253898064295,-0.019700072892010256,75,75
pred,p2,car,0.5813755472989511,0.5846207159645388,0.003245168665587661,0.5927973107812794,0.5690725134786951,-0.023724797302584255,0.7296525705410908,0.6760580596790715,-0.05359451086201927,0.7478846130292536,0.7438723013802553,-0.00401231164899829,478,478
pred,p2,motorcycle,0.6986664600910679,0.6616706745598906,-0.03699578553117733,0.5487856207996287,0.5093157172843974,-0.039469903515231275,0.6023274296794527,0.5266261662166285,-0.07570126346282424,0.6504722811351781,0.6836587144684683,0.03318643333329019,93,93
pred,p2,person,0.6569395583689659,0.6438627638424423,-0.01307679452652355,0.5201186529939014,0.49179607198719966,-0.028322581006701708,0.5695008706148166,0.5095162569496436,-0.05998461366517294,0.6863367604501104,0.701457148099648,0.015120387649537603,401,401
pred,p2,rider,0.6968483291124637,0.6768196736694324,-0.02002865544303134,0.5450755438137903,0.5145548342951672,-0.030520709518623068,0.6191769296251856,0.5591710396147823,-0.06000589001040324,0.6468035884085571,0.6635691080501914,0.016765519641634308,253,253
pred,p2,train,0.5976517098871145,0.5782833742824468,-0.019368335604667664,0.6233161091804504,0.586571841077371,-0.0367442681030794,0.7737394307147373,0.6866057218814438,-0.08713370883329352,0.7563178756020286,0.772516056895256,0.016198181293227476,22,22
pred,p2,truck,0.7011587793007493,0.6768139911815524,-0.024344788119196936,0.635738525353372,0.5964464006945491,-0.039292124658822924,0.7998518262989819,0.7183242877479643,-0.08152753855101758,0.6561344665940851,0.673508565244265,0.017374098650179803,80,80
pred,p3,bicycle,0.6889759108784336,0.6711365977622952,-0.0178393131161384,0.5316673736467823,0.5130868298184476,-0.01858054382833474,0.5766053502574519,0.538955508444312,-0.037649841813139906,0.652935228991432,0.6729579672746338,0.02002273828320178,331,331
pred,p3,bus,0.6668571197986602,0.6766039313872655,0.009746811588605242,0.5694639833768209,0.566898040274779,-0.0025659431020419454,0.6467831258972486,0.6495752634356419,0.0027921375383932467,0.6780782901247342,0.6615248092341547,-0.01655348089057951,75,75
