mode,layer,class_name,rel_l2,mae,mse,cosine,samples
outdated,p2,person,0.5690892947247795,0.434044137467024,0.41064180679935175,0.7621022523508554,401
outdated,p2,rider,0.5928544681592892,0.4508269347044319,0.44410417587109824,0.7361611445110453,253
outdated,p2,car,0.5144612466815126,0.49844055181704305,0.5386683361012504,0.7986618192110476,478
outdated,p2,truck,0.5949295707046985,0.5240713879466057,0.5783160383347422,0.7430288850795478,80
outdated,p2,bus,0.5666809544960658,0.5298024096091588,0.5908432733515898,0.768731966416041,75
outdated,p2,train,0.5320539115504785,0.5440182624892755,0.6158444375138391,0.8012798536907543,22
outdated,p2,motorcycle,0.5991654106045282,0.45908311193668716,0.4431128527929065,0.7326806223080042,93
outdated,p2,bicycle,0.5974845148375387,0.48789292832785863,0.5115315728930593,0.7387437169169979,331
outdated,p3,person,0.5532245067995682,0.39806804450187006,0.3407425859715427,0.7727548087182968,401
outdated,p3,rider,0.5658989181454945,0.41252772945895966,0.36724621405928093,0.7587288509568443,253
outdated,p3,car,0.5389606499085865,0.4642326821997824,0.46586294019025865,0.7753613609352995,478
outdated,p3,truck,0.5908941695466637,0.47510392088443043,0.4715628090314567,0.7442056100815535,80
outdated,p3,bus,0.5850552899638811,0.489714295566082,0.5074384000897407,0.7464798017342885,75
outdated,p3,train,0.5592369477857243,0.4917898374524983,0.5051965235986493,0.7729301479729739,22
outdated,p3,motorcycle,0.5715690167039953,0.4206464563005714,0.363674438338206,0.7585511115049163,93
outdated,p3,bicycle,0.5900680965707381,0.4502704647507552,0.43242389059645264,0.7400056126350227,331
outdated,p4,person,0.5541739584947762,0.39531727505852454,0.3268913374667955,0.7795311305532581,401
outdated,p4,rider,0.5644162721607996,0.4104194840924306,0.3531301014213694,0.7707925894750437,253
outdated,p4,car,0.5596362864871404,0.48087696900988725,0.4936625354642742,0.7595961915609665,478
outdated,p4,truck,0.5949194813147187,0.4770611524581909,0.46738740960136055,0.7470299708656967,80
outdated,p4,bus,0.5999274236957232,0.5144244333108267,0.5587858545035124,0.7294798599556088,75
outdated,p4,train,0.5875041701576926,0.5156661170450124,0.5493573339825327,0.7467828780751337,22
outdated,p4,motorcycle,0.572241408530102,0.4244765025633638,0.36002707771796694,0.7691490221568333,93
outdated,p4,bicycle,0.5963566579892556,0.44996070895580365,0.42467997630697946,0.7396653129204297,331
outdated,p5,person,0.6090117640923384,0.3789149886949401,0.282974717053968,0.7582968268775732,401
outdated,p5,rider,0.6145475100387227,0.37131299508418963,0.27249845621643565,0.7607241436515165,253
outdated,p5,car,0.606062081038453,0.49323114416090513,0.5112615199350444,0.732357221203525,478
outdated,p5,truck,0.6434512225911021,0.4565925270318985,0.4102481346111745,0.7307870078831911,80
outdated,p5,bus,0.6285060316324234,0.4968085720141729,0.5173433035612106,0.7177255010604858,75
outdated,p5,train,0.6293266300450672,0.514884461733428,0.5425477947362445,0.7165033725852316,22
outdated,p5,motorcycle,0.6153883232224372,0.3786902073570477,0.273023965177677,0.7622713557174129,93
outdated,p5,bicycle,0.6390715589876261,0.41264912461316117,0.34095945655511767,0.727887790920241,331
pred,p2,person,0.5712845672172798,0.4350210105317489,0.4139928888956879,0.7572352611726879,401
pred,p2,rider,0.600435297303049,0.45568327499708167,0.45570126158579183,0.7269076202906808,253
pred,p2,car,0.5150189781756331,0.4996763618670747,0.543923121039214,0.796104099866486,478
pred,p2,truck,0.6047870673239231,0.5306685365736484,0.5914207791443914,0.7296681035892106,80
pred,p2,bus,0.5825000740091006,0.5442347238461177,0.6219374555100997,0.749164623618126,75
pred,p2,train,0.5332125330513174,0.5420262529091402,0.60888219777156,0.7997558279470964,22
pred,p2,motorcycle,0.5970464888759839,0.4588613072710653,0.44469564454129307,0.7355391575644413,93
pred,p2,bicycle,0.5991649029163075,0.48949751127342445,0.5138529829506473,0.736924613278016,331
pred,p3,person,0.5537605358849738,0.3982517435180576,0.3422425655355477,0.7694338340587459,401
pred,p3,rider,0.5727313553745096,0.416796694601713,0.3761022563935386,0.7505140455886943,253
pred,p3,car,0.539144413802913,0.465042498258866,0.4706555084621526,0.7722214748030801,478
pred,p3,truck,0.6003170935437083,0.48074090052396057,0.48155179000459614,0.7324226794764399,80
pred,p3,bus,0.5992563852667808,0.5010992211103439,0.5297983871152003,0.7284757474064827,75
pred,p3,train,0.5566931353373961,0.48718593608249317,0.492131499404257,0.7759817100384019,22
pred,p3,motorcycle,0.5685949165333983,0.4193608342639862,0.3639720935494669,0.7606213498980768,93
pred,p3,bicycle,0.5916746545279135,0.4515039268937356,0.43455604466629355,0.738650219205463,331
pred,p4,person,0.5522178260428352,0.3937377155644638,0.32498951237462925,0.7791004551579233,401
pred,p4,rider,0.5668198929532714,0.4117747424796165,0.35637520116720744,0.766511308375319,253
pred,p4,car,0.5592005291337997,0.48101133385587436,0.49786815168063264,0.7565720154656386,478
pred,p4,truck,0.6006106188520789,0.4800530275329947,0.47559368759393694,0.7388127172365785,80
pred,p4,bus,0.6131410576899846,0.5248391406734785,0.5798268673320611,0.7124761400868496,75
pred,p4,train,0.5850945839827711,0.5104497589848258,0.5332628773017363,0.7517828656868502,22
pred,p4,motorcycle,0.5689387154835527,0.42251544117286643,0.3592467065900564,0.770604388312667,93
pred,p4,bicycle,0.5970900833066497,0.45043311680011516,0.4258343519310937,0.7393239628449026,331
pred,p5,person,0.6057858623174063,0.376762430548222,0.2795677138771165,0.760888184469537,401
pred,p5,rider,0.6129446893105865,0.3703119079527176,0.27083073898398946,0.76210732984802,253
pred,p5,car,0.6036044703835474,0.49166452894026264,0.5108872437128743,0.7321973070326927,478
pred,p5,truck,0.6463913299143315,0.4588480157777667,0.4197241500020027,0.7244070385582745,80
pred,p5,bus,0.6329095909992853,0.5006205733617147,0.5265629810591539,0.7092852422532936,75
pred,p5,train,0.6272425116463141,0.5104788948189128,0.5283293807032433,0.7220796343277801,22
pred,p5,motorcycle,0.612424803196743,0.3769912577124052,0.2709717406460675,0.7665691854812766,93
pred,p5,bicycle,0.6396860418182846,0.4128067569520178,0.3411207005910553,0.728879122294238,331
